City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
222,Krasnoselkup,RU,65.7,82.47,22.95,94,87,7.43
223,Tres arroyos,AR,-38.37,-60.28,49.86,75,48,9.95
224,Pleasanton,US,37.66,-121.87,78.01,36,59,1.99
225,San benito,GT,16.91,-89.91,97.27,34,91,5.5
226,Kalmunai,LK,7.42,81.82,80.69,85,83,6.38
227,Miri,MY,4.41,114.01,77.0,100,75,3.36
228,Lipari,IT,38.47,14.95,66.0,41,74,10.0
229,Vostok,RU,46.49,135.88,44.24,66,27,1.28
230,Broome,US,42.25,-75.83,53.01,29,1,6.93
231,Olafsvik,IS,64.89,-23.71,42.87,85,28,9.28
232,Sinjar,IQ,36.32,41.88,66.02,51,28,11.79
233,Brownwood,US,31.71,-98.99,80.6,22,1,16.11
234,Upernavik,GL,72.79,-56.15,23.65,89,74,5.75
235,Chuy,UY,-33.7,-53.46,57.22,69,71,16.73
236,Rawson,AR,-43.3,-65.1,52.86,57,0,5.14
237,Ileza,RU,61.05,43.9,50.61,99,99,5.21
238,Gondanglegi,ID,-7.75,112.01,75.52,90,0,6.17
239,Jalu,LY,29.03,21.55,64.69,47,0,9.91
240,Birjand,IR,32.87,59.22,55.4,28,0,4.7
241,Morant bay,JM,17.88,-76.41,84.2,74,20,20.8
242,Talara,PE,-4.58,-81.27,72.64,77,0,15.28
243,Harwich,GB,51.94,1.28,46.99,76,0,10.0
244,Enkoping,SE,59.64,17.08,46.99,80,99,2.39
245,Ouadda,CF,8.08,22.4,74.48,74,67,5.46
246,Hofn,IS,64.25,-15.21,48.38,51,0,13.0
247,Chimbote,PE,-9.09,-78.58,72.32,72,58,9.62
248,Maceio,BR,-9.67,-35.74,78.8,88,20,4.7
249,Husavik,IS,66.04,-17.34,46.4,49,0,23.04
250,Shumskiy,RU,54.83,99.13,37.74,75,98,8.63
251,Santa maria,BR,-29.68,-53.81,61.52,90,99,4.52
